County/City,Ward,Pct,"Charies S. Robb","Maurice A. Dawkins","All Others","Total Votes Cast"
,,,Democratic,Republican
"Accomack County",,,"7,546","2,914",1,"10,461"
"Albemarle County",,,"17,315","7,144",16,"24,475"
"Alexandria City",,,"32,449","10,783",9,"43,241"
"Alleghany County",,,"3,585","1,009",0,"4,594"
"Amelia County",,,"2,127","1,249",1,"3,377"
"Amherst County",,,"7,365","2,225",2,"9,592"
"Appomattox County",,,"3,375","1,219",0,"4,594"
"Arlington County",,,"54,202","18,193",19,"72,414"
"Augusta County",,,"9,662","6,594",5,"16,261"
"Bath County",,,"1,569",552,0,"2,121"
"Bedford County",,,"10,465","4,632",0,"15,097"
"Bedford City",,,"1,524",589,0,"2,113"
"Bland County",,,"1,459",750,0,"2,209"
"Botetourt County",,,"6,446","2,551",1,"8,998"
"Bristol City",,,"4,722","1,478",0,"6,200"
"Brunswick County",,,"4,126","1,253",2,"5,381"
"Buchanan County",,,"7,991","2,188",0,"10,179"
"Buckingham County",,,"2,824","1,270",2,"4,096"
"Buena Vista City",,,"1,458",468,1,"1,927"
"Campbell County",,,"10,603","5,406",1,"16,010"
"Caroline County",,,"4,632","1,347",1,"5,980"
"Carroll County",,,"5,161","3,506",0,"8,667"
"Charles City County",,,"2,055",509,0,"2,564"
"Charlotte County",,,"3,000","1,213",3,"4,216"
"Charlottesville City",,,"9,982","3,164",26,"13,172"
"Chesapeake City",,,"34,456","13,304",24,"47,784"
"Chesterfield County (CD 3)",,,"46,821","26,384",151,"73,356"
"Chesterfield County (CD 4)",,,"2,039",831,1,"2,871"
"Clarke County",,,"2,952",903,2,"3,857"
"Clifton Forge City",,,"1,269",332,0,"1,601"
"Colonial Heights City",,,"5,010","2,137",6,"7,153"
"Covington City",,,"2,189",516,1,"2,706"
"Craig County",,,"1,325",600,0,"1,925"
"Culpeper County",,,"4,919","2,943",5,"7,867"
"Cumberland County",,,"1,778","1,125",1,"2,904"
"Danville City",,,"10,992","5,526",1,"16,519"
"Dickenson County",,,"5,196","1,871",2,"7,069"
"Dinwiddie County",,,"5,364","1,882",3,"7,249"
"Emporia City",,,"1,580",511,0,"2,091"
"Essex County",,,"2,262",901,3,"3,166"
"Fairfax City",,,"5,815","2,762",0,"8,577"
"Fairfax County (CD 10)",,,"117,857","43,528",160,"161,545"
"Fairfax County (CD 8)",,,"112,923","43,383",116,"156,422"
"Falls Church City",,,"3,692","1,041",0,"4,733"
"Fauquier County",,,"9,963","5,546",3,"15,512"
"Floyd County",,,"2,820","1,480",0,"4,300"
"Fluvanna County",,,"2,616","1,198",0,"3,814"
"Franklin County",,,"9,540","2,764",2,"12,306"
"Franklin City",,,"2,254",646,0,"2,900"
"Frederick County",,,"9,436","3,767",2,"13,205"
"Fredericksburg City",,,"4,260","1,599",4,"5,863"
"Galax City",,,"1,441",582,0,"2,023"
"Giles County",,,"4,563","1,620",2,"6,185"
"Gloucester County",,,"7,598","2,781",1,"10,380"
"Goochland County",,,"3,642","2,075",2,"5,719"
"Grayson County",,,"3,879","1,795",0,"5,674"
"Greene County",,,"1,682","1,185",1,"2,868"
"Greensville County",,,"2,754",677,0,"3,431"
"Halifax County",,,"6,233","2,393",2,"8,628"
"Hampton City",,,"29,942","10,406",7,"40,355"
"Hanover County",,,"15,708","9,464",21,"25,193"
"Harrisonburg City",,,"5,051","2,531",3,"7,585"
"Henrico County",,,"57,471","29,379",254,"87,104"
"Henry County",,,"11,854","4,803",6,"16,663"
"Highland County",,,834,406,0,"1,240"
"Hopewell City",,,"4,811","1,983",6,"6,800"
"Isle of Wight County",,,"6,779","2,328",0,"9,107"
"James City County",,,"9,091","3,654",3,"12,748"
"King and Queen County",,,"1,881",673,0,"2,554"
"King George County",,,"2,798","1,161",0,"3,959"
"King William County",,,"2,792","1,318",0,"4,110"
"Lancaster County",,,"3,002","1,594",1,"4,597"
"Lee County",,,"6,195","1,827",0,"8,022"
"Lexington City",,,"1,451",469,0,"1,920"
"Loudoun County",,,"18,322","10,117",4,"28,443"
"Louisa County",,,"4,182","2,204",4,"6,390"
"Lunenburg County",,,"2,875","1,158",0,"4,033"
"Lynchburg City (CD 5)",,,"3,227","2,156",0,"5,383"
"Lynchburg City (CD 6)",,,"11,692","5,227",7,"16,926"
"Madison County",,,"2,379","1,316",2,"3,697"
"Manassas City",,,"5,022","3,143",0,"8,165"
"Manassas Park City",,,804,522,1,"1,327"
"Martinsville City",,,"4,213","1,532",0,"5,745"
"Mathews County",,,"2,746",986,0,"3,732"
"Mecklenburg County",,,"5,436","2,496",5,"7,937"
"Middlesex County",,,"2,454","1,210",1,"3,665"
"Montgomery County",,,"14,529","5,720",4,"20,253"
"Nelson County",,,"3,597",903,5,"4,505"
"New Kent County",,,"2,983","1,311",6,"4,300"
"Newport News City",,,"38,341","13,238",2,"51,581"
"Norfolk City",,,"53,436","13,485",37,"66,958"
"Northampton County",,,"3,518","1,048",0,"4,566"
"Northumberland County",,,"2,867","1,306",0,"4,173"
"Norton City",,,"1,067",223,0,"1,290"
"Nottoway County",,,"3,548","1,562",3,"5,113"
"Orange County",,,"4,377","2,112",3,"6,492"
"Page County",,,"4,606","2,389",3,"6,998"
"Patrick County",,,"3,306","1,860",2,"5,168"
"Petersburg City",,,"9,076","2,913",8,"11,997"
"Pittsylvania County",,,"10,533","5,657",4,"16,194"
"Poquoson City",,,"3,098","1,428",0,"4,526"
"Portsmouth City",,,"27,542","7,234",0,"34,776"
"Powhatan County",,,"3,246","2,006",3,"5,255"
"Prince Edward County",,,"3,555","1,763",1,"5,319"
"Prince George County",,,"4,913","2,230",1,"7,144"
"Prince William County (CD 7)",,,"7,766","4,751",2,"12,519"
"Prince William County (CD 8)",,,"28,949","13,298",2,"42,249"
"Pulaski County",,,"7,981","3,037",6,"11,024"
"Radford City",,,"3,038","1,133",0,"4,171"
"Rappahannock County",,,"1,901",779,0,"2,680"
"Richmond County",,,"1,837",675,1,"2,513"
"Richmond City",,,"50,704","19,594",57,"70,355"
"Roanoke County",,,"25,700","8,310",3,"34,013"
"Roanoke City",,,"24,448","6,872",2,"31,322"
"Rockbridge County",,,"4,116","1,511",0,"5,627"
"Rockingham County",,,"9,858","6,626",2,"16,486"
"Russell County",,,"7,575","2,361",0,"9,936"
"Salem City",,,"6,848","2,262",0,"9,110"
"Scott County",,,"5,116","2,751",1,"7,868"
"Shenandoah County",,,"7,210","4,012",0,"11,222"
"Smyth County",,,"7,297","3,056",0,"10,353"
"S. Boston City",,,"1,642",669,1,"2,312"
"Southampton County",,,"4,575","1,374",0,"5,949"
"Spotsylvania County",,,"11,117","4,809",2,"15,928"
"Stafford County (CD 7)",,,"5,920","2,634",0,"8,554"
"Stafford County (CD 8)",,,"5,702","2,678",0,"8,380"
"Staunton City",,,"4,864","2,721",0,"7,585"
"Suffolk City",,,"13,348","3,588",0,"16,936"
"Surry County",,,"2,123",604,0,"2,727"
"Sussex County",,,"2,754",803,0,"3,557"
"Tazewell County",,,"10,816","3,185",0,"14,001"
"Virginia Beach City",,,"76,686","31,994",81,"108,761"
"Warren County",,,"4,690","2,307",0,"6,997"
"Washington County",,,"10,505","4,212",0,"14,717"
"Waynesboro City",,,"3,991","2,339",0,"6,330"
"Westmoreland County",,,"3,706","1,286",1,"4,993"
"Williamsburg City",,,"2,286",724,2,"3,012"
"Winchester City",,,"5,006","1,540",2,"6,548"
"Wise County",,,"9,392","3,068",0,"12,460"
"Wythe County",,,"5,614","2,768",0,"8,382"
"York County",,,"11,092","4,076",2,"15,170"
TOTALS,,,"1,474,086","593,652","1,159","2,068,897"
