County/City,Ward,Pct,"Charles S. Robb","Oliver L. North","J. Marshall Coleman","L Douglas Wilder","All Others","Total Votes Cast"
,,,Democratic,Republican,Independent,Independent
"Accomack County",,,"3,838","5,299","1,119",2,0,"10,258"
"Albemarle County (CD 5)",,,"5,386","3,873","1,339",0,24,"10,622"
"Albemarle County (CD 7)",,,"7,888","6,063","2,196",0,37,"16,184"
"Alexandria City",,,"26,040","8,958","3,677",0,59,"38,734"
"Alleghany County",,,"1,994","2,174",578,1,0,"4,747"
"Amelia County",,,"1,413","2,004",247,0,0,"3,664"
"Amherst County",,,"4,066","3,904","1,263",0,1,"9,234"
"Appomattox County",,,"2,037","2,303",612,1,1,"4,954"
"Arlington County",,,"43,774","15,837","6,472",0,83,"66,166"
"Augusta County",,,"4,757","12,580","1,813",1,11,"19,162"
"Bath County",,,673,904,233,0,2,"1,812"
"Bedford City",,,"1,004",854,300,1,1,"2,160"
"Bedford County (CD 5)",,,"4,862","7,020","1,976",9,2,"13,869"
"Bedford County (CD 6)",,,"1,542","2,056",520,1,0,"4,119"
"Bland County",,,680,"1,327",236,0,0,"2,243"
"Botetourt County",,,"3,988","5,433","1,506",2,7,"10,936"
"Bristol City",,,"2,090","2,776",648,0,1,"5,515"
"Brunswick County",,,"2,834","1,960",370,0,0,"5,164"
"Buchanan County",,,"4,670","3,171",408,1,0,"8,250"
"Buckingham County",,,"1,974","1,964",394,0,0,"4,332"
"Buena Vista City",,,824,710,206,0,0,"1,740"
"Campbell County",,,"5,991","8,199","2,181",0,2,"16,373"
"Caroline County",,,"3,139","2,458",616,1,2,"6,216"
"Carroll County",,,"2,818","5,067",877,1,0,"8,763"
"Charles City County",,,"1,676",607,141,0,0,"2,424"
"Charlotte County",,,"1,775","2,117",386,0,0,"4,278"
"Charlottesville City",,,"7,286","2,857","1,197",0,21,"11,361"
"Chesapeake City",,,"22,992","22,898","5,647",0,23,"51,560"
"Chesterfield County (CD 4)",,,"3,483","4,859",891,0,5,"9,238"
"Chesterfield County (CD 7)",,,"20,931","42,180","8,414",0,77,"71,602"
"Clarke County",,,"1,625","1,992",349,0,3,"3,969"
"Clifton Forge City",,,825,537,174,0,0,"1,536"
"Colonial Heights City",,,"1,615","4,506",799,0,3,"6,923"
"Covington City",,,"1,192",806,291,0,0,"2,289"
"Craig County",,,775,"1,019",233,3,0,"2,030"
"Culpeper County",,,"2,853","4,515",931,4,3,"8,306"
"Cumberland County",,,"1,078","1,441",269,0,0,"2,788"
"Danville City",,,"6,224","8,171","1,259",1,2,"15,657"
"Dickenson County",,,"3,575","2,609",317,2,0,"6,503"
"Dinwiddie County",,,"3,037","3,344",700,1,1,"7,083"
"Emporia City",,,849,823,157,0,0,"1,829"
"Essex County",,,"1,298","1,455",255,0,0,"3,008"
"Fairfax City",,,"3,692","2,928",964,2,14,"7,600"
"Fairfax County (CD 10)",,,"26,557","24,836","8,212",0,72,"59,677"
"Fairfax County (CD 11)",,,"78,963","50,922","18,610",0,229,"148,724"
"Fairfax County (CD 8)",,,"49,521","33,247","11,888",0,146,"94,802"
"Falls Church City",,,"2,959","1,185",490,2,1,"4,637"
"Fauquier County",,,"5,974","8,646","1,966",0,2,"16,588"
"Floyd County",,,"1,719","2,217",563,0,0,"4,499"
"Fluvanna County",,,"2,004","2,476",709,1,2,"5,192"
"Franklin County",,,"5,661","6,063","2,275",0,12,"14,011"
"Franklin City",,,"1,570",882,316,3,0,"2,771"
"Frederick County",,,"4,533","8,700","1,660",0,4,"14,897"
"Fredericksburg City",,,"2,731","1,859",754,0,2,"5,346"
"Galax City",,,804,882,225,0,0,"1,911"
"Giles County",,,"2,636","2,644",753,0,1,"6,034"
"Gloucester County",,,"4,124","5,179","1,485",0,6,"10,794"
"Goochland County",,,"2,470","3,295",600,0,0,"6,365"
"Grayson County",,,"2,062","2,966",510,0,1,"5,539"
"Greene County",,,"1,104","1,923",485,0,4,"3,516"
"Greensville County",,,"1,777","1,074",289,0,0,"3,140"
"Halifax County",,,"3,630","4,572",729,12,0,"8,943"
"Hampton City (CD 1)",,,"10,030","9,326","2,958",3,6,"22,323"
"Hampton City (CD 3)",,,"12,673","3,579","1,275",4,4,"17,535"
"Hanover County (CD 1)",,,"4,523","9,994","2,022",0,3,"16,542"
"Hanover County (CD 7)",,,"3,208","7,967","1,548",0,3,"12,726"
"Harrisonburg City",,,"2,897","4,091",730,0,4,"7,722"
"Henrico County (CD 3)",,,"11,100","4,618","1,171",0,16,"16,905"
"Henrico County (CD 7)",,,"23,000","39,039","8,749",0,95,"70,883"
"Henry County",,,"7,220","8,179","1,958",7,4,"17,368"
"Highland County",,,365,618,163,5,1,"1,152"
"Hopewell City (CD 3)",,,631,74,23,0,0,728
"Hopewell City (CD 4)",,,"1,715","3,219",617,0,2,"5,553"
"Isle of Wight County",,,"4,223","4,290","1,147",0,0,"9,660"
"James City County",,,"7,499","6,411","2,155",0,2,"16,067"
"King and Queen County",,,"1,213","1,016",238,0,0,"2,467"
"King George County",,,"1,762","2,110",709,0,0,"4,581"
"King William County",,,"1,588","2,165",450,0,1,"4,204"
"Lancaster County",,,"1,665","2,379",628,0,2,"4,674"
"Lee County",,,"3,581","3,634",379,3,0,"7,597"
"Lexington City",,,"1,046",568,221,0,3,"1,838"
"Loudoun County",,,"14,980","16,129","4,443",3,25,"35,580"
"Louisa County",,,"2,962","3,362",817,0,0,"7,141"
"Lunenburg County",,,"1,679","1,936",407,0,0,"4,022"
"Lynchburg City",,,"9,917","8,397","2,468",0,2,"20,784"
"Madison County",,,"1,450","2,080",431,0,4,"3,965"
"Manassas City",,,"3,151","4,037","1,055",0,1,"8,244"
"Manassas Park City",,,369,631,149,0,5,"1,154"
"Martinsville City",,,"2,625","2,009",566,0,8,"5,208"
"Mathews County",,,"1,506","1,852",518,0,0,"3,876"
"Mecklenburg County",,,"3,110","4,764",652,6,1,"8,533"
"Middlesex County",,,"1,517","1,915",445,0,0,"3,877"
"Montgomery County",,,"9,718","8,458","2,850",0,9,"21,035"
"Nelson County",,,"2,370","1,673",551,0,2,"4,596"
"New Kent County",,,"1,701","2,519",539,0,1,"4,760"
"Newport News City (CD 1)",,,"11,051","12,256","3,626",0,9,"26,942"
"Newport News City (CD 3)",,,"13,489","5,078","1,429",0,10,"20,006"
"Norfolk City (CD 2)",,,"19,273","12,286","4,091",0,43,"35,693"
"Norfolk City (CD 3)",,,"14,711","2,292",847,0,10,"17,860"
"Northampton County",,,"2,244","1,714",526,0,1,"4,485"
"Northumberland County",,,"1,690","2,404",475,2,0,"4,571"
"Norton City",,,673,463,132,0,0,"1,268"
"Nottoway County",,,"2,179","2,252",449,0,0,"4,880"
"Orange County",,,"2,952","3,433",907,0,2,"7,294"
"Page County",,,"2,267","4,176",503,0,1,"6,947"
"Patrick County",,,"1,918","3,211",506,0,9,"5,644"
"Petersburg City (CD 3)",,,"4,553",566,226,1,1,"5,347"
"Petersburg City (CD 4)",,,"2,676","1,581",375,3,0,"4,635"
"Pittsylvania County",,,"5,965","10,464","1,780",0,4,"18,213"
"Poquoson City",,,"1,444","2,587",709,0,3,"4,743"
"Portsmouth City (CD 3)",,,"9,938","1,009",337,0,0,"11,284"
"Portsmouth City (CD 4)",,,"9,638","7,963","2,177",0,1,"19,779"
"Powhatan County",,,"1,712","3,888",560,0,3,"6,163"
"Prince Edward County",,,"2,408","2,473",583,2,0,"5,466"
"Prince George County (CD 3)",,,246,539,75,0,1,861
"Prince George County (CD 4)",,,"2,378","3,863",701,0,0,"6,942"
"Prince William County (CD 10)",,,"9,662","13,209","3,646",0,14,"26,531"
"Prince William County (CD 11)",,,"13,433","13,670","4,288",0,8,"31,399"
"Pulaski County",,,"4,627","5,264","1,544",1,7,"11,443"
"Radford City",,,"1,860","1,483",507,0,1,"3,851"
"Rappahannock County",,,"1,133","1,271",203,4,1,"2,612"
"Richmond County",,,806,"1,321",306,0,0,"2,433"
"Richmond City (CD 3)",,,"27,947","4,690","1,742",0,11,"34,390"
"Richmond City (CD 7)",,,"12,386","11,884","2,818",0,22,"27,110"
"Roanoke City",,,"15,417","9,598","3,412",2,12,"28,441"
"Roanoke County (CD 6)",,,"11,649","13,279","4,225",2,16,"29,171"
"Roanoke County (CD 9)",,,"1,935","2,458",835,0,0,"5,228"
"Rockbridge County",,,"2,660","2,718",846,0,2,"6,226"
"Rockingham County (CD 10)",,,439,"1,397",141,0,0,"1,977"
"Rockingham County (CD 6)",,,"4,289","11,470","1,417",2,1,"17,179"
"Russell County",,,"4,367","3,746",533,1,0,"8,647"
"Salem City",,,"3,661","3,934","1,401",4,7,"9,007"
"Scott County",,,"2,835","4,458",686,1,1,"7,981"
"Shenandoah County",,,"3,409","6,532","1,548",1,1,"11,491"
"Smyth County",,,"3,904","5,345","1,350",0,0,"10,599"
"S. Boston City",,,812,"1,147",200,0,0,"2,159"
"Southampton County",,,"2,948","2,381",724,0,1,"6,054"
"Spotsylvania County (CD 1)",,,"4,352","5,715","1,740",2,10,"11,819"
"Spotsylvania County (CD 7)",,,"2,588","3,853","1,098",0,3,"7,542"
"Stafford County",,,"6,920","9,994","3,196",2,7,"20,119"
"Staunton City",,,"2,856","4,217",659,0,2,"7,734"
"Suffolk City (CD 3)",,,339,310,66,0,0,715
"Suffolk City (CD 4)",,,"8,479","6,234","1,504",0,8,"16,225"
"Surry County",,,"1,572",847,232,0,1,"2,652"
"Sussex County",,,"1,962","1,198",292,0,0,"3,452"
"Tazewell County",,,"5,771","6,173",974,0,1,"12,919"
"Virginia Beach City (CD 2)",,,"43,653","45,033","13,522",0,112,"102,320"
"Virginia Beach City (CD 4)",,,"1,095","1,345",278,0,0,"2,718"
"Warren County",,,"2,963","4,161",793,0,2,"7,919"
"Washington County",,,"5,485","8,459","1,785",0,0,"15,729"
"Waynesboro City",,,"1,935","2,937",874,0,0,"5,746"
"Westmoreland County",,,"2,137","2,109",509,0,1,"4,756"
"Williamsburg City",,,"1,831",884,333,0,4,"3,052"
"Winchester City",,,"2,627","2,882",663,0,1,"6,173"
"Wise County",,,"5,305","5,121",850,0,2,"11,278"
"Wythe County",,,"2,985","4,385","1,307",0,0,"8,677"
"York County",,,"7,081","7,438","2,551",0,9,"17,079"
TOTALS,,,"938,376","882,213","235,324",113,"1,437","2,057,463"
