County/City,Ward,Pct,"Mark L. Earley","William D. Dolan, III","All Others","Total Votes Cast"
,,,Republican,Democratic
"Accomack County",,,"4,121","2,433",0,"6,554"
"Albemarle County",,,"14,092","8,742",38,"22,872"
"Alexandria City",,,"10,884","16,640",64,"27,588"
"Alleghany County",,,"2,041","1,791",0,"3,832"
"Amelia County",,,"1,886","1,140",0,"3,026"
"Amherst County",,,"4,166","3,618",1,"7,785"
"Appomattox County",,,"1,914","1,703",0,"3,617"
"Arlington County",,,"17,763","29,507",26,"47,296"
"Augusta County",,,"11,723","4,189",0,"15,912"
"Bath County",,,679,680,0,"1,359"
"Bedford County",,,"10,350","5,114",2,"15,466"
"Bedford City",,,817,718,1,"1,536"
"Bland County",,,"1,083",595,0,"1,678"
"Botetourt County",,,"6,142","3,082",0,"9,224"
"Bristol City",,,"1,919","1,548",4,"3,471"
"Brunswick County",,,"1,808","2,233",0,"4,041"
"Buchanan County",,,"2,404","3,434",1,"5,839"
"Buckingham County",,,"1,570","1,638",0,"3,208"
"Buena Vista City",,,740,633,0,"1,373"
"Campbell County",,,"8,466","4,739",0,"13,205"
"Caroline County",,,"2,477","2,781",0,"5,258"
"Carroll County",,,"4,325","2,304",0,"6,629"
"Charles City County",,,703,"1,294",0,"1,997"
"Charlotte County",,,"2,016","1,220",0,"3,236"
"Charlottesville City",,,"3,880","4,538",49,"8,467"
"Chesapeake City",,,"29,957","14,593",168,"44,718"
"Chesterfield County",,,"46,876","21,377",333,"68,586"
"Clarke County",,,"1,664","1,292",0,"2,956"
"Clifton Forge City",,,536,681,0,"1,217"
"Colonial Heights City",,,"4,285","1,606",13,"5,904"
"Covington City",,,768,933,1,"1,702"
"Craig County",,,"1,158",738,4,"1,900"
"Culpeper County",,,"4,943","2,373",0,"7,316"
"Cumberland County",,,"1,365",908,0,"2,273"
"Danville City",,,"6,533","4,653",2,"11,188"
"Dickenson County",,,"2,115","2,399",0,"4,514"
"Dinwiddie County",,,"3,274","2,562",0,"5,836"
"Emporia City",,,777,619,0,"1,396"
"Essex County",,,"1,404","1,136",0,"2,540"
"Fairfax County",,,"126,169","109,512",138,"235,819"
"Fairfax City",,,"3,332","2,793",3,"6,128"
"Falls Church City",,,"1,388","2,451",2,"3,841"
"Fauquier County",,,"9,171","4,216",40,"13,427"
"Floyd County",,,"2,142","1,336",0,"3,478"
"Fluvanna County",,,"3,401","1,631",0,"5,032"
"Franklin County",,,"6,270","5,102",0,"11,372"
"Franklin City",,,"1,216","1,018",0,"2,234"
"Frederick County",,,"8,596","4,434",0,"13,030"
"Fredericksburg City",,,"2,112","2,017",9,"4,138"
"Galax City",,,792,606,0,"1,398"
"Giles County",,,"2,458","1,909",1,"4,368"
"Gloucester County",,,"5,352","2,972",0,"8,324"
"Goochland County",,,"3,628","2,474",0,"6,102"
"Grayson County",,,"2,571","1,783",0,"4,354"
"Greene County",,,"2,189",787,2,"2,978"
"Greensville County",,,"1,186","1,411",0,"2,597"
"Halifax County",,,"4,967","3,289",0,"8,256"
"Hampton City",,,"16,091","14,897",65,"31,053"
"Hanover County",,,"18,116","8,201",0,"26,317"
"Harrisonburg City",,,"3,938","1,981",9,"5,928"
"Henrico County",,,"46,789","29,779",394,"76,962"
"Henry County",,,"6,866","6,261",0,"13,127"
"Highland County",,,606,336,0,942
"Hopewell City",,,"2,879","1,742",1,"4,622"
"Isle of Wight County",,,"4,701","3,245",14,"7,960"
"James City County",,,"8,655","5,931",36,"14,622"
"King and Queen County",,,917,"1,023",0,"1,940"
"King George County",,,"2,169","1,307",9,"3,485"
"King William County",,,"2,247","1,382",11,"3,640"
"Lancaster County",,,"2,471","1,432",5,"3,908"
"Lee County",,,"3,517","3,178",0,"6,695"
"Lexington City",,,687,750,0,"1,437"
"Loudoun County",,,"19,618","12,829",78,"32,525"
"Louisa County",,,"3,778","2,710",0,"6,488"
"Lunenburg County",,,"1,962","1,626",0,"3,588"
"Lynchburg City",,,"9,508","7,195",20,"16,723"
"Madison County",,,"2,288","1,043",0,"3,331"
"Manassas City",,,"3,999","2,659",1,"6,659"
"Manassas Park City",,,646,369,0,"1,015"
