County/City,,,"T. M. Kaine","J. W. Kilgore","H. R. Potts, Jr","All Others","Total Votes Cast"
,,,Democratic,Republican,Independent
"Accomack County",,,"3,860","3,754",126,5,"7,745"
"Albemarle County",,,"18,455","10,994",711,14,"30,174"
"Alexandria City",,,"25,061","9,173",605,25,"34,864"
"Alleghany County",,,"2,907","2,373",115,2,"5,397"
"Amelia County",,,"1,368","2,251",74,3,"3,696"
"Amherst County",,,"3,576","4,450",175,4,"8,205"
"Appomattox County",,,"1,804","2,663",99,4,"4,570"
"Arlington County",,,"42,319","13,631",990,49,"56,989"
"Augusta County",,,"6,395","12,197",721,12,"19,325"
"Bath County",,,729,860,26,2,"1,617"
"Bedford County",,,"7,524","12,330",420,14,"20,288"
"Bedford City",,,892,877,47,2,"1,818"
"Bland County",,,706,"1,176",34,0,"1,916"
"Botetourt County",,,"4,083","6,053",227,10,"10,373"
"Bristol City",,,"1,548","2,515",27,1,"4,091"
"Brunswick County",,,"2,691","1,742",31,2,"4,466"
"Buchanan County",,,"3,171","2,875",27,4,"6,077"
"Buckingham County",,,"1,822","1,899",80,0,"3,801"
"Buena Vista City",,,799,713,28,0,"1,540"
"Campbell County",,,"5,319","8,864",264,15,"14,462"
"Caroline County",,,"3,396","2,786",142,1,"6,325"
"Carroll County",,,"2,942","4,485",143,1,"7,571"
"Charles City County",,,"1,565",671,29,0,"2,265"
"Charlotte County",,,"1,637","2,078",69,2,"3,786"
"Charlottesville City",,,"8,018","1,870",205,11,"10,104"
"Chesapeake City",,,"26,612","24,885","1,357",34,"52,888"
"Chesterfield County",,,"40,134","48,112","1,484",81,"89,811"
"Clarke County",,,"2,225","2,350",363,4,"4,942"
"Colonial Heights City",,,"1,777","4,116",143,2,"6,038"
"Covington City",,,"1,022",587,53,0,"1,662"
"Craig County",,,754,975,48,3,"1,780"
"Culpeper County",,,"3,689","5,762",242,5,"9,698"
"Cumberland County",,,"1,144","1,420",50,0,"2,614"
"Danville City",,,"6,052","5,177",119,2,"11,350"
"Dickenson County",,,"2,377","2,559",18,3,"4,957"
"Dinwiddie County",,,"3,168","3,523",131,4,"6,826"
"Emporia City",,,796,815,26,0,"1,637"
"Essex County",,,"1,500","1,533",45,0,"3,078"
"Fairfax County",,,"163,667","103,285","4,907",241,"272,100"
"Fairfax City",,,"3,865","2,750",132,9,"6,756"
"Falls Church City",,,"3,138","1,102",77,10,"4,327"
"Fauquier County",,,"7,746","9,505",576,20,"17,847"
"Floyd County",,,"1,959","2,324",129,0,"4,412"
"Fluvanna County",,,"3,592","3,456",178,1,"7,227"
"Franklin County",,,"7,017","8,157",441,3,"15,618"
"Franklin City",,,"1,394",988,41,0,"2,423"
"Frederick County",,,"6,027","10,698","1,125",26,"17,876"
"Fredericksburg City",,,"2,611","1,561",118,4,"4,294"
"Galax City",,,730,693,36,0,"1,459"
"Giles County",,,"2,570","2,507",132,5,"5,214"
"Gloucester County",,,"3,985","5,688",373,12,"10,058"
"Goochland County",,,"3,292","4,313",146,5,"7,756"
"Grayson County",,,"1,875","2,710",66,0,"4,651"
"Greene County",,,"1,846","2,526",115,1,"4,488"
"Greensville County",,,"1,833","1,424",25,1,"3,283"
"Halifax County",,,"3,931","4,887",149,5,"8,972"
"Hampton City",,,"20,961","11,078",814,25,"32,878"
"Hanover County",,,"12,784","21,637",770,19,"35,210"
"Harrisonburg City",,,"3,539","3,251",138,12,"6,940"
"Henrico County",,,"49,170","41,619","1,492",78,"92,359"
"Henry County",,,"7,454","7,004",198,3,"14,659"
"Highland County",,,478,700,32,1,"1,211"
"Hopewell City",,,"2,300","2,705",90,4,"5,099"
"Isle of Wight County",,,"4,664","5,262",285,4,"10,215"
"James City County",,,"10,205","10,104",704,16,"21,029"
"King and Queen County",,,"1,114",896,40,1,"2,051"
"King George County",,,"2,042","2,569",133,5,"4,749"
"King William County",,,"1,951","2,509",108,2,"4,570"
"Lancaster County",,,"2,043","2,463",113,6,"4,625"
"Lee County",,,"2,453","4,640",42,0,"7,135"
"Lexington City",,,"1,097",567,33,0,"1,697"
"Loudoun County",,,"31,074","27,539","1,501",65,"60,179"
"Louisa County",,,"3,716","4,179",193,2,"8,090"
"Lunenburg County",,,"1,490","1,749",48,2,"3,289"
"Lynchburg City",,,"8,329","7,708",308,27,"16,372"
"Madison County",,,"1,672","2,105",90,4,"3,871"
"Manassas City",,,"3,167","3,532",147,4,"6,850"
"Manassas Park City",,,650,751,20,2,"1,423"
"Martinsville City",,,"2,363","1,380",43,2,"3,788"
"Mathews County",,,"1,452","1,946",170,0,"3,568"
"Mecklenburg County",,,"2,986","3,864",131,0,"6,981"
"Middlesex County",,,"1,530","2,167",104,1,"3,802"
"Montgomery County",,,"11,509","8,670",560,19,"20,758"
"Nelson County",,,"2,755","2,113",102,2,"4,972"
"New Kent County",,,"2,241","3,179",127,2,"5,549"
"Newport News City",,,"21,743","15,095",992,42,"37,872"
"Norfolk City",,,"27,791","12,899","1,290",50,"42,030"
"Northampton County",,,"2,058","1,256",73,0,"3,387"
"Northumberland County",,,"2,104","2,548",95,6,"4,753"
"Norton City",,,449,539,11,0,999
"Nottoway County",,,"1,993","1,942",59,0,"3,994"
"Orange County",,,"3,888","4,481",182,0,"8,551"
"Page County",,,"2,385","3,591",185,4,"6,165"
"Patrick County",,,"2,111","2,853",93,4,"5,061"
"Petersburg City",,,"5,995","1,274",59,2,"7,330"
"Pittsylvania County",,,"6,363","10,252",250,6,"16,871"
"Poquoson City",,,"1,383","2,515",143,3,"4,044"
"Portsmouth City",,,"16,314","7,926",560,17,"24,817"
"Powhatan County",,,"2,744","5,580",170,6,"8,500"
"Prince Edward County",,,"2,546","2,259",85,1,"4,891"
"Prince George County",,,"3,382","4,751",130,3,"8,266"
"Prince William County",,,"33,364","32,178","1,220",35,"66,797"
