County/City,,,"J. H. Webb, Jr","G. F. Allen","G. G. Parker","All Others","Total Votes Cast"
,,,Democratic,Republican,"Independent Greens"
"Accomack County",,,"4,704","5,059",136,2,"9,901"
"Albemarle County",,,"20,821","15,048",293,36,"36,198"
"Alexandria City",,,"31,638","12,659",423,69,"44,789"
"Alleghany County",,,"2,818","2,578",70,0,"5,466"
"Amelia County",,,"1,425","2,668",36,2,"4,131"
"Amherst County",,,"3,974","5,732",111,8,"9,825"
"Appomattox County",,,"1,717","3,256",52,4,"5,029"
"Arlington County",,,"53,021","19,200",738,110,"73,069"
"Augusta County",,,"7,086","16,084",234,7,"23,411"
"Bath County",,,698,"1,025",24,1,"1,748"
"Bedford County",,,"8,056","16,769",267,30,"25,122"
"Bedford City",,,868,"1,048",23,1,"1,940"
"Bland County",,,760,"1,318",27,0,"2,105"
"Botetourt County",,,"4,438","8,187",155,8,"12,788"
"Bristol City",,,"1,894","2,933",29,3,"4,859"
"Brunswick County",,,"2,676","2,046",38,1,"4,761"
"Buchanan County",,,"3,943","3,094",52,0,"7,089"
"Buckingham County",,,"1,995","2,360",53,0,"4,408"
"Buena Vista City",,,777,946,23,2,"1,748"
"Campbell County",,,"5,497","11,802",188,8,"17,495"
"Caroline County",,,"3,771","3,580",92,5,"7,448"
"Carroll County",,,"3,442","5,549",135,3,"9,129"
"Charles City County",,,"1,514",941,25,2,"2,482"
"Charlotte County",,,"1,548","2,393",52,2,"3,995"
"Charlottesville City",,,"9,159","2,575",99,19,"11,852"
"Chesapeake City",,,"30,761","33,772",728,68,"65,329"
"Chesterfield County",,,"42,025","60,987","1,200",159,"104,371"
"Clarke County",,,"2,463","2,700",57,2,"5,222"
"Colonial Heights City",,,"1,544","4,290",87,4,"5,925"
"Covington City",,,936,650,30,1,"1,617"
"Craig County",,,799,"1,182",35,0,"2,016"
"Culpeper County",,,"4,428","6,796",140,8,"11,372"
"Cumberland County",,,"1,252","1,757",34,2,"3,045"
"Danville City",,,"6,086","6,271",124,3,"12,484"
"Dickenson County",,,"2,960","2,417",38,2,"5,417"
"Dinwiddie County",,,"3,256","4,495",106,3,"7,860"
"Emporia City",,,820,729,18,4,"1,571"
"Essex County",,,"1,444","1,674",35,1,"3,154"
"Fairfax County",,,"202,036","137,313","3,280",369,"342,998"
"Fairfax City",,,"4,541","3,451",95,9,"8,096"
"Falls Church City",,,"3,532","1,424",44,6,"5,006"
"Fauquier County",,,"9,260","12,777",256,17,"22,310"
"Floyd County",,,"2,239","3,106",79,5,"5,429"
"Fluvanna County",,,"3,837","4,514",79,5,"8,435"
"Franklin County",,,"6,786","10,898",257,12,"17,953"
"Franklin City",,,"1,300","1,131",26,0,"2,457"
"Frederick County",,,"7,807","13,363",253,21,"21,444"
"Fredericksburg City",,,"3,109","2,129",74,9,"5,321"
"Galax City",,,853,937,19,0,"1,809"
"Giles County",,,"2,592","3,070",66,3,"5,731"
"Gloucester County",,,"4,583","7,129",173,20,"11,905"
"Goochland County",,,"3,390","5,393",106,3,"8,892"
"Grayson County",,,"2,208","3,318",83,0,"5,609"
"Greene County",,,"1,955","3,310",57,1,"5,323"
"Greensville County",,,"1,735","1,323",20,0,"3,078"
"Halifax County",,,"4,078","6,053",122,5,"10,258"
"Hampton City",,,"24,325","14,541",487,69,"39,422"
"Hanover County",,,"12,534","26,449",339,25,"39,347"
"Harrisonburg City",,,"3,947","4,018",85,11,"8,061"
"Henrico County",,,"49,603","50,165","1,118",131,"101,017"
"Henry County",,,"7,319","9,100",166,3,"16,588"
"Highland County",,,429,762,17,0,"1,208"
"Hopewell City",,,"2,349","2,943",64,7,"5,363"
"Isle of Wight County",,,"5,126","7,105",147,18,"12,396"
"James City County",,,"11,860","13,832",228,41,"25,961"
"King and Queen County",,,"1,049","1,213",19,2,"2,283"
"King George County",,,"2,419","3,577",75,8,"6,079"
"King William County",,,"2,022","3,350",40,6,"5,418"
"Lancaster County",,,"2,141","2,928",58,5,"5,132"
"Lee County",,,"2,928","3,731",62,0,"6,721"
"Lexington City",,,"1,128",651,26,2,"1,807"
"Loudoun County",,,"40,381","39,249",904,115,"80,649"
"Louisa County",,,"4,133","5,444",147,7,"9,731"
"Lunenburg County",,,"1,543","2,047",37,3,"3,630"
"Lynchburg City",,,"9,364","10,369",186,16,"19,935"
"Madison County",,,"1,864","2,607",51,3,"4,525"
"Manassas City",,,"4,003","4,301",104,7,"8,415"
"Manassas Park City",,,948,995,25,5,"1,973"
"Martinsville City",,,"2,211","1,680",35,3,"3,929"
"Mathews County",,,"1,564","2,364",35,3,"3,966"
"Mecklenburg County",,,"3,351","4,941",74,3,"8,369"
"Middlesex County",,,"1,724","2,556",50,0,"4,330"
"Montgomery County",,,"12,485","11,598",332,20,"24,435"
"Nelson County",,,"3,101","2,722",51,0,"5,874"
"New Kent County",,,"2,308","4,210",89,10,"6,617"
"Newport News City",,,"25,242","19,851",567,79,"45,739"
"Norfolk City",,,"31,909","16,879",623,76,"49,487"
"Northampton County",,,"2,302","1,860",43,8,"4,213"
"Northumberland County",,,"2,149","3,096",40,4,"5,289"
"Norton City",,,546,504,6,0,"1,056"
"Nottoway County",,,"2,008","2,457",54,1,"4,520"
"Orange County",,,"4,294","5,738",100,4,"10,136"
"Page County",,,"2,813","4,358",91,8,"7,270"
"Patrick County",,,"2,270","3,310",91,4,"5,675"
"Petersburg City",,,"5,944","1,488",95,4,"7,531"
"Pittsylvania County",,,"6,645","12,813",196,6,"19,660"
"Poquoson City",,,"1,569","3,640",54,7,"5,270"
"Portsmouth City",,,"17,453","9,527",309,52,"27,341"
"Powhatan County",,,"2,727","7,047",108,10,"9,892"
