County/City,,,"Timothy Michael Kaine","George Felix Allen","All Others","Total Votes Cast"
,,,Democratic,Republican
"Accomack County",,,"7,521","8,041",13,"15,575"
"Albemarle County",,,"30,973","22,342",136,"53,451"
"Alexandria City",,,"52,502","19,498",267,"72,267"
"Alleghany County",,,"3,507","3,798",4,"7,309"
"Amelia County",,,"2,481","4,276",5,"6,762"
"Amherst County",,,"6,073","8,905",20,"14,998"
"Appomattox County",,,"2,568","5,244",11,"7,823"
"Arlington County",,,"82,689","32,807",279,"115,775"
"Augusta County",,,"9,879","24,153",49,"34,081"
"Bath County",,,890,"1,374",8,"2,272"
"Bedford County",,,"10,669","26,160",49,"36,878"
"Bedford City",,,"1,180","1,520",3,"2,703"
"Bland County",,,850,"2,132",0,"2,982"
"Botetourt County",,,"5,898","12,253",31,"18,182"
"Bristol City",,,"2,682","4,594",21,"7,297"
"Brunswick County",,,"4,736","3,071",6,"7,813"
"Buchanan County",,,"3,408","6,132",2,"9,542"
"Buckingham County",,,"3,654","3,610",3,"7,267"
"Buena Vista City",,,964,"1,478",8,"2,450"
"Campbell County",,,"7,900","17,904",29,"25,833"
"Caroline County",,,"7,329","6,057",59,"13,445"
"Carroll County",,,"4,075","8,596",18,"12,689"
"Charles City County",,,"2,706","1,413",7,"4,126"
"Charlotte County",,,"2,516","3,364",0,"5,880"
"Charlottesville City",,,"16,800","4,589",39,"21,428"
"Chesapeake City",,,"56,109","52,182",226,"108,517"
"Chesterfield County",,,"81,239","88,142",401,"169,782"
"Clarke County",,,"3,419","4,224",16,"7,659"
"Colonial Heights City",,,"2,662","5,772",14,"8,448"
"Covington City",,,"1,306","1,071",2,"2,379"
"Craig County",,,883,"1,755",3,"2,641"
"Culpeper County",,,"8,457","11,743",21,"20,221"
"Cumberland County",,,"2,411","2,544",9,"4,964"
"Danville City",,,"11,840","7,902",23,"19,765"
"Dickenson County",,,"2,768","4,064",2,"6,834"
"Dinwiddie County",,,"6,489","6,880",12,"13,381"
"Emporia City",,,"1,685",957,0,"2,642"
"Essex County",,,"2,964","2,562",5,"5,531"
"Fairfax County",,,"319,748","201,414","2,222","523,384"
"Fairfax City",,,"6,728","4,682",26,"11,436"
"Falls Church City",,,"5,147","2,051",29,"7,227"
"Fauquier County",,,"14,351","20,745",87,"35,183"
"Floyd County",,,"2,968","4,551",15,"7,534"
"Fluvanna County",,,"5,945","6,618",19,"12,582"
"Franklin County",,,"9,870","16,478",43,"26,391"
"Franklin City",,,"2,651","1,464",4,"4,119"
"Frederick County",,,"13,342","22,464",65,"35,871"
"Fredericksburg City",,,"7,233","3,957",36,"11,226"
"Galax City",,,981,"1,309",1,"2,291"
"Giles County",,,"3,082","4,640",10,"7,732"
"Gloucester County",,,"7,195","12,044",29,"19,268"
"Goochland County",,,"5,050","8,082",24,"13,156"
"Grayson County",,,"2,398","4,657",0,"7,055"
"Greene County",,,"3,374","5,552",6,"8,932"
"Greensville County",,,"3,014","1,794",2,"4,810"
"Halifax County",,,"7,649","8,878",26,"16,553"
"Hampton City",,,"46,432","18,732",146,"65,310"
"Hanover County",,,"20,003","38,432",160,"58,595"
"Harrisonburg City",,,"8,507","6,681",31,"15,219"
"Henrico County",,,"93,124","67,015",747,"160,886"
"Henry County",,,"10,365","13,831",19,"24,215"
"Highland County",,,477,957,0,"1,434"
"Hopewell City",,,"5,087","3,809",9,"8,905"
"Isle of Wight County",,,"8,860","11,645",25,"20,530"
"James City County",,,"18,878","21,957",101,"40,936"
"King and Queen County",,,"1,806","1,877",7,"3,690"
"King George County",,,"4,625","6,565",21,"11,211"
"King William County",,,"3,470","5,371",22,"8,863"
"Lancaster County",,,"3,241","3,622",18,"6,881"
"Lee County",,,"2,883","6,588",8,"9,479"
"Lexington City",,,"1,573","1,102",9,"2,684"
"Loudoun County",,,"83,383","74,325",277,"157,985"
"Louisa County",,,"7,232","9,036",24,"16,292"
"Lunenburg County",,,"2,616","2,985",9,"5,610"
"Lynchburg City",,,"16,129","19,601",83,"35,813"
"Madison County",,,"2,678","3,978",9,"6,665"
"Manassas City",,,"8,322","6,550",27,"14,899"
"Manassas Park City",,,"2,829","1,752",15,"4,596"
"Martinsville City",,,"3,811","2,300",9,"6,120"
"Mathews County",,,"1,907","3,383",5,"5,295"
"Mecklenburg County",,,"6,344","8,037",0,"14,381"
"Middlesex County",,,"2,455","3,489",5,"5,949"
"Montgomery County",,,"20,875","19,335",83,"40,293"
"Nelson County",,,"4,215","3,946",11,"8,172"
"New Kent County",,,"3,815","7,070",18,"10,903"
"Newport News City",,,"50,800","27,332",247,"78,379"
"Norfolk City",,,"61,887","22,953",295,"85,135"
"Northampton County",,,"3,735","2,606",6,"6,347"
"Northumberland County",,,"3,253","4,220",5,"7,478"
"Norton City",,,620,859,1,"1,480"
"Nottoway County",,,"3,294","3,327",2,"6,623"
"Orange County",,,"6,972","9,114",62,"16,148"
"Page County",,,"3,806","6,376",22,"10,204"
"Patrick County",,,"2,679","5,537",10,"8,226"
"Petersburg City",,,"13,882","1,569",35,"15,486"
"Pittsylvania County",,,"11,027","19,520",17,"30,564"
"Poquoson City",,,"1,844","5,194",15,"7,053"
"Portsmouth City",,,"32,281","12,818",114,"45,213"
"Powhatan County",,,"4,470","10,887",29,"15,386"
"Prince Edward County",,,"5,118","4,100",7,"9,225"
"Prince George County",,,"7,052","8,778",12,"15,842"
"Prince William County",,,"102,859","74,809",320,"177,988"
"Pulaski County",,,"5,732","8,717",19,"14,468"
"Radford City",,,"2,839","2,453",13,"5,305"
"Rappahannock County",,,"2,036","2,272",8,"4,316"
"Richmond County",,,"1,550","2,122",8,"3,680"
"Richmond City",,,"76,783","19,081",323,"96,187"
"Roanoke County",,,"20,008","30,530",73,"50,611"
"Roanoke City",,,"24,871","14,601",61,"39,533"
"Rockbridge County",,,"4,195","6,063",11,"10,269"
"Rockingham County",,,"10,015","24,340",47,"34,402"
"Russell County",,,"4,243","7,714",7,"11,964"
"Salem City",,,"5,138","7,032",18,"12,188"
"Scott County",,,"2,776","7,122",10,"9,908"
"Shenandoah County",,,"6,630","12,411",42,"19,083"
"Smyth County",,,"4,562","8,022",8,"12,592"
"Southampton County",,,"4,440","4,627",10,"9,077"
"Spotsylvania County",,,"25,833","31,265",113,"57,211"
"Stafford County",,,"27,820","31,997",267,"60,084"
"Staunton City",,,"5,625","5,239",13,"10,877"
"Suffolk City",,,"24,247","17,544",37,"41,828"
"Surry County",,,"2,553","1,658",10,"4,221"
"Sussex County",,,"3,278","2,057",7,"5,342"
"Tazewell County",,,"4,318","13,477",15,"17,810"
"Virginia Beach City",,,"96,465","95,390",460,"192,315"
"Warren County",,,"6,616","9,747",41,"16,404"
"Washington County",,,"7,916","17,417",29,"25,362"
"Waynesboro City",,,"3,873","4,775",14,"8,662"
"Westmoreland County",,,"4,331","3,703",14,"8,048"
"Williamsburg City",,,"5,037","2,546",11,"7,594"
"Winchester City",,,"5,292","4,816",38,"10,146"
"Wise County",,,"4,236","10,520",12,"14,768"
"Wythe County",,,"4,031","8,080",70,"12,181"
"York County",,,"13,849","19,745",59,"33,653"
TOTALS,,,"2,010,067","1,785,542","9,410","3,805,019"
